customer_id,arm,p_churn,risk_vs_base,cltv,monthly_charges,tenure_months,offer_id,offer_name,cost,delta_prior,ev,min_ev_floor,lever_summary,levers,considered,vetoed,status,catalog_version,actual_churn
0295-PPHDO,treatment,0.99,above,5962.0,95.45,1,OFF-BUNDLE-ALL,"Tech Support + Online Security bundle, 12 months",120.51,0.14,705.82,20.0,"No tech support add-on; No online security add-on; No device protection; Rolling month-to-month contract; Manual payment method; High bill, few add-ons; Under 12 months tenure; Premium fiber plan",NO_TECH_SUPPORT|NO_ONLINE_SECURITY|NO_DEVICE_PROTECTION|MONTH_TO_MONTH|MANUAL_PAYMENT|HIGH_CHARGE_LOW_BUNDLE|NEW_CUSTOMER|FIBER_PREMIUM,OFF-BUNDLE-ALL:706|OFF-CONTRACT-1Y:594|OFF-TECHSUP-12:412|OFF-SEC-12:235|OFF-AUTOPAY:176,,recommended,3,1
2754-SDJRD,treatment,0.9227,above,5157.0,100.15,8,OFF-CONTRACT-2Y,2-year contract at 15% off,180.27,0.18,676.24,20.0,No online security add-on; No device protection; Rolling month-to-month contract; Under 12 months tenure; Premium fiber plan,NO_ONLINE_SECURITY|NO_DEVICE_PROTECTION|MONTH_TO_MONTH|NEW_CUSTOMER|FIBER_PREMIUM,OFF-CONTRACT-2Y:676|OFF-CONTRACT-1Y:451|OFF-SEC-12:178,,recommended,3,0
5178-LMXOP,treatment,0.9541,above,5795.0,95.1,1,OFF-BUNDLE-ALL,"Tech Support + Online Security bundle, 12 months",120.51,0.14,653.55,20.0,"No tech support add-on; No online security add-on; No device protection; Rolling month-to-month contract; Manual payment method; High bill, few add-ons; Under 12 months tenure; Premium fiber plan",NO_TECH_SUPPORT|NO_ONLINE_SECURITY|NO_DEVICE_PROTECTION|MONTH_TO_MONTH|MANUAL_PAYMENT|HIGH_CHARGE_LOW_BUNDLE|NEW_CUSTOMER|FIBER_PREMIUM,OFF-BUNDLE-ALL:654|OFF-CONTRACT-1Y:549|OFF-TECHSUP-12:382|OFF-SEC-12:216|OFF-AUTOPAY:161,,recommended,3,1
8161-QYMTT,treatment,0.864,above,5259.0,94.1,7,OFF-CONTRACT-2Y,2-year contract at 15% off,169.38,0.18,648.5,20.0,"No tech support add-on; No online security add-on; No device protection; Rolling month-to-month contract; Manual payment method; High bill, few add-ons; Under 12 months tenure; Premium fiber plan",NO_TECH_SUPPORT|NO_ONLINE_SECURITY|NO_DEVICE_PROTECTION|MONTH_TO_MONTH|MANUAL_PAYMENT|HIGH_CHARGE_LOW_BUNDLE|NEW_CUSTOMER|FIBER_PREMIUM,OFF-CONTRACT-2Y:648|OFF-BUNDLE-ALL:516|OFF-CONTRACT-1Y:432|OFF-TECHSUP-12:303|OFF-SEC-12:167|OFF-AUTOPAY:122,,recommended,3,0
1628-BIZYP,treatment,0.904,above,5754.0,85.0,1,OFF-BUNDLE-ALL,"Tech Support + Online Security bundle, 12 months",120.51,0.14,607.72,20.0,"No tech support add-on; No online security add-on; No device protection; Rolling month-to-month contract; Manual payment method; High bill, few add-ons; Under 12 months tenure; Premium fiber plan",NO_TECH_SUPPORT|NO_ONLINE_SECURITY|NO_DEVICE_PROTECTION|MONTH_TO_MONTH|MANUAL_PAYMENT|HIGH_CHARGE_LOW_BUNDLE|NEW_CUSTOMER|FIBER_PREMIUM,OFF-BUNDLE-ALL:608|OFF-CONTRACT-1Y:522|OFF-TECHSUP-12:356|OFF-SEC-12:200|OFF-AUTOPAY:148,,recommended,3,0
7180-PISOG,treatment,0.931,above,5554.0,74.5,1,OFF-BUNDLE-ALL,"Tech Support + Online Security bundle, 12 months",120.51,0.14,603.4,20.0,No tech support add-on; No online security add-on; No device protection; Rolling month-to-month contract; Manual payment method; Under 12 months tenure; Premium fiber plan,NO_TECH_SUPPORT|NO_ONLINE_SECURITY|NO_DEVICE_PROTECTION|MONTH_TO_MONTH|MANUAL_PAYMENT|NEW_CUSTOMER|FIBER_PREMIUM,OFF-BUNDLE-ALL:603|OFF-CONTRACT-1Y:531|OFF-TECHSUP-12:353|OFF-SEC-12:198|OFF-AUTOPAY:147,,recommended,3,1
3716-BDVDB,treatment,0.8862,above,5795.0,69.1,1,OFF-BUNDLE-ALL,"Tech Support + Online Security bundle, 12 months",120.51,0.14,598.46,20.0,No tech support add-on; No online security add-on; No device protection; Rolling month-to-month contract; Manual payment method; Under 12 months tenure; Premium fiber plan,NO_TECH_SUPPORT|NO_ONLINE_SECURITY|NO_DEVICE_PROTECTION|MONTH_TO_MONTH|MANUAL_PAYMENT|NEW_CUSTOMER|FIBER_PREMIUM,OFF-BUNDLE-ALL:598|OFF-CONTRACT-1Y:533|OFF-TECHSUP-12:350|OFF-SEC-12:197|OFF-AUTOPAY:145,,recommended,3,1
7249-WBIYX,treatment,0.8107,above,5146.0,85.6,10,OFF-CONTRACT-2Y,2-year contract at 15% off,154.08,0.18,596.86,20.0,"No tech support add-on; No online security add-on; No device protection; Rolling month-to-month contract; Manual payment method; High bill, few add-ons; Under 12 months tenure; Premium fiber plan",NO_TECH_SUPPORT|NO_ONLINE_SECURITY|NO_DEVICE_PROTECTION|MONTH_TO_MONTH|MANUAL_PAYMENT|HIGH_CHARGE_LOW_BUNDLE|NEW_CUSTOMER|FIBER_PREMIUM,OFF-CONTRACT-2Y:597|OFF-BUNDLE-ALL:464|OFF-CONTRACT-1Y:398|OFF-TECHSUP-12:273|OFF-SEC-12:148|OFF-AUTOPAY:107,,recommended,3,1
6651-AZVTJ,treatment,0.6834,above,6088.0,99.8,49,OFF-CONTRACT-2Y,2-year contract at 15% off,179.64,0.18,569.26,20.0,No tech support add-on; No online security add-on; Rolling month-to-month contract; Manual payment method; Premium fiber plan,NO_TECH_SUPPORT|NO_ONLINE_SECURITY|MONTH_TO_MONTH|MANUAL_PAYMENT|FIBER_PREMIUM,OFF-CONTRACT-2Y:569|OFF-BUNDLE-ALL:462|OFF-CONTRACT-1Y:380|OFF-TECHSUP-12:272|OFF-SEC-12:148|OFF-AUTOPAY:106,,recommended,3,1
2865-TCHJW,treatment,0.8434,above,5808.0,89.2,4,OFF-BUNDLE-ALL,"Tech Support + Online Security bundle, 12 months",120.51,0.14,565.28,20.0,"No tech support add-on; No online security add-on; Rolling month-to-month contract; Manual payment method; High bill, few add-ons; Under 12 months tenure; Premium fiber plan",NO_TECH_SUPPORT|NO_ONLINE_SECURITY|MONTH_TO_MONTH|MANUAL_PAYMENT|HIGH_CHARGE_LOW_BUNDLE|NEW_CUSTOMER|FIBER_PREMIUM,OFF-BUNDLE-ALL:565|OFF-CONTRACT-1Y:481|OFF-TECHSUP-12:332|OFF-SEC-12:185|OFF-AUTOPAY:136,,recommended,3,1
